id,name_with_brand,overall_sentiment
AV13O1A8GV-KLJ3akUyj,Pink Friday: Roman Reloaded Re-Up (w/dvd) by Universal Music,1.0
AV14LG0R-jtxr-f38QfS,Lundberg Organic Cinnamon Toast Rice Cakes by Lundberg,1.0
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel by K-Y,0.41
AV1d76w7vKc47QAVhCqn,"J.R. Watkins Hand Cream, Lemon Cream by J.R. Watkins",0.83
AV1h6gSl-jtxr-f31p40,Ambi Complexion Cleansing Bar by AMBI,0.75
AV1h6Gu0glJLPUi8IjA_,"Johnson's Baby Bubble Bath and Wash, 15oz by Johnson's",0.64
AV1l8zRZvKc47QAVhnAv,Olay Regenerist Deep Hydration Regenerating Cream by Olay,0.74
AV1YGDqsGV-KLJ3adc-O,Windex Original Glass Cleaner Refill 67.6oz (2 Liter) by Windex,0.53
AV1YIch7GV-KLJ3addeG,"Heinz Tomato Ketchup, 38oz by Heinz",0.0
AV1YlENIglJLPUi8IHsX,Kind Dark Chocolate Chunk Gluten Free Granola Bars - 5 Count by KIND,0.82
AV1YmBrdGV-KLJ3adewb,"Pantene Color Preserve Volume Shampoo, 25.4oz by Pantene",0.89
AV1YmDL9vKc47QAVgr7_,"Aussie Aussome Volume Shampoo, 13.5 Oz by Aussie",0.88
AV1Ymf_rglJLPUi8II2v,Cars Toon: Mater's Tall Tales by Disney,0.74
AV1Yn94nvKc47QAVgtst,CeraVe SA Renewing Cream by CeraVe,0.44
AV1Ynb3bglJLPUi8IJxJ,Solo Foods Almond Paste by Solo Foods,0.6
AV1YneDPglJLPUi8IJyQ,"Finish Quantum Dishwasher Detergent, Lemon Sparkle Scent, 45 Count by Finish",0.71
AV1YnUMYglJLPUi8IJpK,Disney174 Jake And The Neverland Pirates 4 Piece Bedding Set - Toddler by Jake And The Neverland Pirates,1.0
AV1Yo6FPglJLPUi8IK3u,Pearhead Id Bracelet Frame by Pearhead,0.0
AV1YpiJvvKc47QAVguxy,Craft Punch Giga Scallop Circle 45 24687534 To 334 by No Brand,1.0
AV1YqAaMGV-KLJ3adiDj,"Neutrogena Wet Skin Sunscreen Spray Broad Spectrum SPF 50, 5oz by Neutrogena",0.5
AV1Ys0kTvKc47QAVgx1C,Meguiar's Deep Crystal Car Wash 64-Oz. by Meguiars,0.55
AV1YtGjdglJLPUi8IOfJ,"Banana Boat Sunless Summer Color Self Tanning Lotion, Light To Medium by Banana Boat",0.74
AV1ZSp2uglJLPUi8IQFy,"Cetaphil Gentle Skin Cleanser, 2oz by Cetaphil",0.86
AV1ZT7GLglJLPUi8IQLI,"Suave Professionals Hair Conditioner, Sleek by Suave",0.68
AV1ZVIgy-jtxr-f31W9N,Bumble Bee Solid White Albacore In Water - 5 Oz by Bumble Bee,0.33
AV2AvGnjGV-KLJ3alTQH,Citrus Magic Instant Spot & Stain Remover by Citrus Magic,1.0
AV2Avn5dGV-KLJ3alTjq,La Tortilla Factory Hand Made Style Tortillas Flour by La Tortilla Factory,1.0
AV2BOOWS-jtxr-f39GPS,Black Sister's Revenge (dvd) by Target.com Use Only,1.0
AVpe_5U_ilAPnD_xSrxG,Sea Gull Lighting Six Light Bath Sconce/vanity - Brushed Nickel by Sea Gull Lighting,0.67
AVpe_dxlilAPnD_xSiHI,"The Seaweed Bath Co. Argan Conditioner, Smoothing Citrus by The Seaweed Bath Co.",0.22
AVpe_N91LJeJML43z4jD,"Way Basics 3-Shelf Eco Narrow Bookcase Storage Shelf, Espresso - Formaldehyde Free - Lifetime Guarantee by Way Basics",0.82
AVpe_pDG1cnluZ0-bjSf,Bi-O-kleen Spray & Wipe All Purpose Cleaner by Biokleen,0.25
AVpe_y-I1cnluZ0-bmvh,Yes To Carrots Nourishing Body Wash by Yes to Carrots,0.86
AVpe3_ikilAPnD_xPykq,Alberto VO5 Salon Series Smooth Plus Sleek Shampoo by Alberto VO5,0.67
AVpe31o71cnluZ0-YrSD,Dark Shadows (includes Digital Copy) (ultraviolet) (dvdvideo) by Warner Bros.,0.7
AVpe38Uy1cnluZ0-YuJR,Clambake (dvd) by Target.com Use Only,0.67
AVpe41TqilAPnD_xQH3d,Mike Dave Need Wedding Dates (dvd + Digital) by FOX,0.7
AVpe4Bq81cnluZ0-YwTN,Sea Gull Lighting Ceiling Fan - White by Sea Gull Lighting,1.0
